Substance ID,SMILES,BertzCT,Kappa2
ZINC000000000128,CC(C)(C)NC[C@@H](O)COc1cccc2c1CCC(=O)N2,508.7338197187734,6.451508617684691
ZINC000000000129,CCCC(=O)O[C@@H]1CN2CC[C@@H](O)[C@@H]2[C@H](O)[C@H]1O,310.842895279382,5.522842347931519
ZINC000000000130,CN(C)[C@@](C)(CO)Cc1ccc(Cl)c(Cl)c1,368.03643491841683,5.367837730609007
ZINC000000000131,CNC(=O)COc1ccccc1OC[C@H](O)CNC(C)(C)C,471.4587647406015,8.603797354643355
ZINC000000000132,O=C(OCCN1CCCCCC1)[C@@H](c1ccsc1)C1CCCCC1,473.83810583888607,9.571036157866677
ZINC000000000133,CN1C(=O)CCS(=O)(=O)[C@H]1c1ccc(Cl)cc1,538.3399004379567,4.308806656920966
ZINC000000000134,NC(=O)NC(=O)[C@@H](Cl)c1ccccc1,339.9250078018522,4.620683936770725
ZINC000000000135,OC[C@@H](O)COc1ccc(Cl)cc1,247.54165625270005,5.066770309834454
ZINC000000000136,NC(=O)OC[C@@H](O)COc1ccc(Cl)cc1,341.1771954549894,6.194329133544896
ZINC000000000137,CN(C)CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,553.1908264086571,7.078137630242836
ZINC000000000138,O=C1N[C@H](CCCl)Oc2ccccc21,353.7301643637959,3.881428910052045
ZINC000000000139,CN1C[C@@H](C[C@H](C#N)C(N)=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,833.4946339556292,5.641296604324719
ZINC000000000140,C[C@H]1C[C@@H](OC(=O)[C@@H](C)O)CC(C)(C)C1,233.02173091204665,4.518288187849228
ZINC000000000142,O[C@]1(c2cccc(Cl)c2)C2=NCCCN2c2ccccc21,743.0748964963217,4.5826288741779955
ZINC000000000144,C[C@H](C(=O)O)c1ccc2c(c1)Cc1ccccc1-2,628.744128975873,3.983864034166492
ZINC000000000145,c1ccc(C2(c3ccccc3)C[C@@H]2C2=NCCN2)cc1,591.4825027665295,4.480081934998562
ZINC000000000148,C[C@H](CCN(C)C)Nc1cc(O)cc2cccnc12,554.0820258533159,5.8871630140507385
ZINC000000000149,COC[C@@H]1CN(c2ccc(OCc3cccc(C#N)c3)cc2)C(=O)O1,782.7562562856338,7.686664860024509
ZINC000000000150,COC(=O)/C=C/c1ccccc1OC[C@H](O)CNC(C)C,471.09971001326187,9.153150598613735
ZINC000000000151,C[C@@H]([C@@H](O)c1ccccc1)N(C)C/C=C/c1ccccc1,550.2937411813542,7.769441141498217
ZINC000000000152,O=C1C(C[C@@H]2CCCO2)C(=O)N2c3ccccc3-c3ccccc3N12,809.2499170957813,5.425309573631567
ZINC000000000153,COc1cc(/C=C/C(=O)N2CCCCCCC2)cc(OC)c1OC,549.724674208312,9.20509323421615
ZINC000000000154,COc1ccc2c(c1)c(-c1ccccc1)nc(=O)n2CC1CC1,911.7960851923085,5.539021388099536
ZINC000000000155,CN(C)[C@@H](c1cccc(O)c1)[C@@H]1CCCC[C@@H]1O,391.8349207604565,5.720007704135475
ZINC000000000156,CN1CCC2=C(CC1)c1cc(C#N)ccc1Sc1ccccc12,844.9604454435414,5.882315167598833
ZINC000000000158,C=CCc1cccc(OC)c1OCCN(CC)CC,386.3353649218873,8.592290322134852
ZINC000000000161,CN(C)C[C@@H](O)[C@H](c1ccccc1)c1cccc(Cl)c1,541.6960845557447,6.889358088486353
ZINC000000000162,C[C@@H](CC(=O)Nc1ccc(Cl)cc1Cl)N1CCCCC1,472.94135959636395,7.298976087999981
ZINC000000000163,O=C(O)[C@H]1CCc2cc(C3CCCCC3)c(Cl)cc21,503.7155516001744,5.162909038431587
ZINC000000000164,CC(C)(C)C(=O)[C@H](Oc1ccc(Cl)cc1)n1ccnc1,570.9210237184805,5.669952524053512
ZINC000000000165,C[C@H](C(=O)O)c1ccc(C(=O)c2cccs2)c(Cl)c1,619.626243851868,5.548470451411268
ZINC000000000166,C[C@H](CN(C)C)[C@](C)(O)Cc1ccc(Cl)cc1,345.7447718216834,5.852669646092128
ZINC000000000167,C[C@H]1[C@H]2CC[C@H](C2)[C@H]1CN(CCO)C(=O)c1ccc(Cl)cc1,528.3936230242252,6.592314432341707
ZINC000000000169,CN(C)CCC[C@H]1c2ccccc2Nc2ccc(Cl)cc21,636.8654948023037,6.084174777959774
ZINC000000000171,Cc1c(Cl)cccc1Nc1ncccc1C(=O)OC[C@H](O)CO,693.5304950199518,7.915795195968679
ZINC000000000172,Clc1ccc(C[C@H]2CC[C@@H]3CCCCN3C2)cc1,386.58836328429425,5.625567550579745
ZINC000000000173,CC(=O)Nc1ccc(O[C@H](O)C(Cl)(Cl)Cl)cc1,388.77775060206096,5.776805015755143
ZINC000000000174,CC(C)(C)NC[C@H](O)COc1cc(Cl)ccc1Cl,391.06790085225975,6.61839289563535
ZINC000000000176,O[C@H](c1ccc(Cl)cc1)c1cc2ccccc2o1,637.2812789574599,4.482425935618358
ZINC000000000178,CC(C)NC[C@@H](O)c1ccccc1Cl,288.37094987019805,5.345259760458109
ZINC000000000179,CN(C)CC[C@@H]1c2ccc(Cl)cc2CCc2cccnc21,636.8654948023037,6.165681860747683
ZINC000000000181,COC1=C[C@H]2[C@@H]3Cc4ccc(OC)c(O)c4[C@]2(CCN3C)CC1=O,741.1274901279538,5.244875922031269
ZINC000000000182,COc1ccc2c3c1O[C@@H]1[C@H](O)C=C[C@@H]4[C@@H](C2)[N+](C)([O-])CC[C@]314,727.9769249093094,4.093490430695034
ZINC000000000183,O[C@H]1CNC=Nc2c1ncn2Cc1cccc2ccccc12,847.4911524620863,5.2725109028263
ZINC000000000184,CC(C)(C)NC[C@H](O)c1ccc(O)c(O)c1,357.77177241192635,4.718527703418083
ZINC000000000185,C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@@H]3CC[C@@H](C(=O)CO)[C@@]3(C)C[C@@H](O)[C@H]12,637.8073073537269,5.75
