SMILES,ABCGG,AATSC3d,ATSC3d,GGI10,ATSC4i,BCUTp-1l,Kier3,AATS8p,Kier2,fr_NH0,VSA_EState3,Kappa3,Kappa2,PEOE_VSA6,BertzCT,EState_VSA3
CN(C)c1ccc(-c2nc3ccccc3o2)cc1,11.459902613127417,-0.0696514423076923,-4.52734375,0.04,0.4726866618669152,0.7502170364631287,2.804967129291453,1.1239260014418948,5.551020408163265,2,0.0,1.838312450338613,4.182957278177247,12.13273413692322,635.2812789574599,5.890723922025908
CN(C)c1ccc(-c2ccc3scnc3c2)cc1,11.597658882450707,-0.137920673076923,-8.96484375,0.04,-15.963950275727973,1.025570294854373,2.804967129291453,1.5028934457484242,5.551020408163265,2,0.0,1.97385531062738,4.424298620823287,18.19910120538483,668.28127895746,0.0
CN(C)c1ccc(-c2nc3ccccc3s2)cc1,11.459902613127417,-0.0696514423076923,-4.52734375,0.04,-0.4716935214190068,1.0247397625273196,2.804967129291453,1.344809956284,5.551020408163265,2,1.0847278911564628,1.97385531062738,4.424298620823287,12.13273413692322,635.2812789574599,0.0
CN(C)c1ccc(-c2ccc3c(c2)ncn3C)cc1,12.14769890664515,-0.1573765432098765,-11.80324074074074,0.0730578512396694,-7.433645871352128,0.9951262496824445,2.88,1.364539148597628,5.78,3,0.0,2.076529139286187,4.427193242742896,18.19910120538483,708.4421796281292,0.0
CN(C)c1ccc(-c2nc3ccccc3n2C)cc1,12.30272178121649,-0.1344135802469135,-10.081018518518515,0.04,-0.6320452326047425,0.9938004055966084,2.741225461035098,1.201851879971907,5.78,3,0.0,1.9706284661741311,4.427193242742896,12.13273413692322,708.4421796281292,0.0
CN(C)c1ccc(-c2ccc3c(n2)sc2ccccc23)cc1,13.245608419680924,-0.0886426592797784,-7.26869806094183,0.1108070605040302,-8.44631066759603,1.0241897372167257,3.04,1.6119237788010652,6.481481481481482,2,2.540525358546643,2.143395220328157,5.108907741732905,30.33183534230805,952.1739870548896,0.0
CN(C)c1ccc(-c2ccc3c(c2)sc2cc(C#N)ccc23)cc1,14.125194578485308,-0.1079545454545454,-9.5,0.1190715233139475,-6.852739507587723,0.961428564371808,3.48559670781893,1.6565624269230763,7.3188691650230115,2,11.560302578814484,2.41713626105168,5.665693889841761,30.33183534230805,1082.6764891799896,5.563451491696996
CN(C)c1ccc(-c2ccc3c(n2)[SiH2]c2ccccc2-3)cc1,13.245608419680924,-0.1177777777777777,-10.6,0.1108070605040302,-16.881878639668013,1.0247916931281136,3.04,1.5585968089277884,6.481481481481482,2,2.8476776114231024,2.142492163093152,5.107191244805366,47.651295124918725,838.3089620225146,0.0
CN(C)c1ccc(-c2ccc3c(n2)oc2ccccc23)cc1,13.245608419680924,-0.0886426592797784,-7.26869806094183,0.1108070605040302,-8.448961195949035,0.7494369055578667,3.04,1.5617542135836742,6.481481481481482,2,2.1701549881762725,2.0233435044410024,4.8794396129327815,30.33183534230805,952.1739870548896,5.713496644793708
CN(C)c1ccc(-c2cc(C#N)c(C#N)c(C#N)c2)cc1,13.36426516330112,-0.1087073948036515,-7.392102846648303,0.0330578512396694,-19.830024028844782,0.9603050466456728,4.05,1.423559205,8.022222222222222,4,27.34379433724311,2.6830763200212884,5.780708152415934,12.13273413692322,761.6495819471788,0.0
CN(C)c1ccc(-c2ccc(C(=O)C(F)(F)F)cc2)cc1,13.12216652773994,-0.1356235827664399,-9.764897959183676,0.1196816651362105,-40.78804208524329,0.5269346776485033,4.487534626038781,1.3606621692999998,7.05078125,1,0.0,3.4232304686580504,5.596201067918239,36.39820241076966,628.0668192622804,0.0
CN(C)c1ccc(-c2ccc(C=O)cc2)cc1,10.526281827833724,-0.128521543560606,-8.482421875,0.0330578512396694,-11.650614783547748,0.7533117566416694,3.484444444444444,1.2987286053440588,6.25,1,0.0,2.532975446619701,4.829418699917778,36.39820241076966,497.4499584541679,5.563451491696996
CC(=O)c1ccc(-c2ccc(N(C)C)cc2)cc1,11.174438282518038,-0.1337868480725623,-9.632653061224488,0.0661157024793388,-18.425703500574667,0.7526829917900468,3.75,1.3881653158,6.437869822485207,1,0.0,2.5914735972097724,5.046296347606327,36.39820241076966,538.314573080063,0.0
CN(C)c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1,11.92145467392308,-0.1272546897546897,-9.798611111111107,0.0991735537190082,-19.59623542481639,0.7613297336716295,3.986159169550173,1.431119076909091,6.185493460166469,1,0.0,3.1460794525283404,5.052938138047801,24.26546827384644,656.2966916771854,4.895483475517775
CN(C)c1ccc(-c2cc(C=O)ccc2C=O)cc1,12.089178322366422,-0.0970835392980721,-6.795847750865052,0.0,-8.228660254672704,0.7527258892684238,3.761632653061224,1.3164876809234116,7.135802469135802,1,0.0,2.706854009265005,5.48174392776679,24.26546827384644,600.646040117285,11.126902983393991
CN(C)c1ccc(-c2c(C#N)cc(C#N)cc2C#N)cc1,13.500074104974155,-0.0703829741262896,-4.786042240587697,0.0330578512396694,1.3108012279544674,0.9612669628071868,4.05,1.611081548125,8.022222222222222,4,27.533008405535465,2.6830763200212884,5.780708152415934,12.13273413692322,761.6495819471787,22.253805966787983
CN(C)c1ccc(-c2ccc3c4c(cccc24)C(=O)C3=O)cc1,14.411734920286325,-0.0917026347999742,-7.886426592797783,0.1308070605040302,-8.140097701138252,0.7471974978866598,2.708525700215451,1.3666213733346124,6.378698224852071,1,1.743971455866297,1.898142735856585,4.780870097258868,36.39820241076966,948.5982746464524,11.126902983393991
CN(C)c1ccc(-c2c(F)c(F)c(F)c(F)c2F)cc1,13.388710244624558,-0.1095340501792114,-6.791111111111112,0.0,13.493791314577932,0.5422260350116537,3.122448979591837,1.2682418893076923,6.40582726326743,1,0.0,2.2140387626514406,5.109546552307299,12.13273413692322,620.599218396267,0.0
CN(C)c1ccc(-c2ccc3c(c2)C(=O)NC3=O)cc1,12.83156535783198,-0.1600701521543347,-11.685121107266434,0.0730578512396694,-12.714996231476022,0.7511396720858486,2.9789075175770687,1.27432802134245,6.01171875,1,2.3004190252521783,1.950479896162288,4.488724856473309,18.19910120538483,702.9168536775032,11.126902983393991
CN(C)c1ccc(-c2ccc3c(c2)C(=O)C=CC3=O)cc1,12.83865616905574,-0.1116287701203313,-8.818672839506172,0.0702989490868278,-13.812111701821683,0.7519327996647948,3.347107438016529,1.3634161329064782,6.629935720844812,1,0.0,2.3809199420104603,5.017990128166749,18.19910120538483,755.2878359710456,11.126902983393991
CN(C)c1ccc(C2=CC(=O)c3ccccc3C2=O)cc1,13.128923508493504,-0.0912349585872792,-7.207561728395062,0.0372410978471584,-13.904861546740188,0.7519271163535547,3.2,1.3539011695455216,6.629935720844812,1,0.0,2.2697294892456785,5.017990128166749,36.39820241076966,755.042723473209,16.70000751346326
CN(C)c1ccc(C2=CC(=O)C=CC2=O)cc1,11.00993781637648,-0.0983512544802867,-6.097777777777777,0.0,-8.779529900975703,0.751903157129066,3.263267429760666,1.3415131830653075,5.76,1,0.0,2.3326467900761965,4.373951251529715,12.13273413692322,521.6581209861217,5.573104530069267
CN(C)c1ccc(C2=CC(=O)NC2=O)cc1,10.907754161993768,-0.1556122448979591,-8.714285714285714,0.0,-12.474618788066756,0.7511800264770023,2.831111111111111,1.3243533018181817,5.104166666666667,1,2.22184090765936,1.81631659408281,3.8088634515543887,12.13273413692322,472.2970570439153,5.573104530069267
CN(C)c1ccc(N2C(=O)C=CC2=O)cc1,11.115922346055807,-0.1785714285714285,-9.999999999999998,0.0,-1.7720644935880414,0.7510669363585573,2.651404786680541,1.4246561963636362,5.104166666666667,2,0.0,1.6927946265011198,3.8088634515543887,0.0,442.4120339060764,5.687386274683562
CN(C)c1ccc(-c2ccc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2)cc1,18.38599989876523,-0.0836727272727272,-9.204,0.1438649117436996,-5.431697059521847,0.7527481047326108,5.23947427043885,1.5141006767749283,10.950520833333334,3,18.852855708073825,3.635099179246113,8.143546964480224,60.6636706846161,1296.6347881569764,22.273112043532528
CN(C)c1ccc(-c2c[nH]c3ccccc3c2=O)cc1,12.319508370760287,-0.1125175808720112,-8.888888888888891,0.0372410978471584,-14.545898553830746,0.7512712433138837,3.122448979591837,1.3092810021542174,6.40582726326743,1,0.723783436213992,2.0728609155353785,4.851302195137771,24.26546827384644,801.082994103965,5.563451491696996
Cc1cc(C)c(B(c2ccc(N(C)C)cc2)c2c(C)cc(C)cc2C)c(C)c1,18.15746372914,-0.0420647419072616,-5.342222222222225,0.1154984185287215,-32.81982932592653,1.0434701249212357,5.023781212841855,1.0155315587463252,9.427685950413224,1,0.0,3.871501305219424,7.871306231293842,86.16732114219614,895.9316688033938,0.0
CN(C)c1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=C(C#N)C#N)cc1,17.221271415472092,-0.0462865348262324,-4.813799621928171,0.1690643811855933,-1.908204929225616,0.7527494931518974,4.345270890725436,1.603670687079353,9.646502835538753,3,18.95886993442993,2.9765409245645422,7.110004367878112,48.53093654769288,1236.4613491542998,27.82691049685725
CN(C)c1ccc(-c2ccc(C=C(C#N)C#N)s2)cc1,12.79107309762958,-0.1024305555555556,-6.555555555555558,0.0908070605040302,7.754510954030891,0.9592308676851106,4.496326530612245,1.6898200252552105,7.85204081632653,3,17.505772374740488,3.0592853808833853,6.055669870653852,12.13273413692322,693.4156389668851,0.0
CN(C)c1ccc(-c2ccc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)s2)cc1,18.79678127566104,-0.0762879130828429,-7.62879130828429,0.1024405672890521,1.7291274549735096,0.7527488738119253,4.859504132231405,1.7160741498567027,10.29244001810774,3,18.853162244768484,3.325123563310356,7.829910015224054,36.39820241076966,1279.1519673702178,22.273112043532528
CN(C)c1ccc(-c2ccc3c4c(cccc24)-c2nc4cc(C#N)c(C#N)cc4nc2-3)cc1,18.452594573707543,-0.0374689655172414,-4.346400000000007,0.2567187021732476,-16.55236230086341,0.9605721870404887,3.986159169550173,1.6190028508472258,9.465066174207449,5,21.095328762706167,2.7001894316931225,6.8829796292171,42.46456947923127,1633.6911531499445,22.16030441862652
CN(C)c1ccc(-c2ncc(C#N)cn2)cc1,10.526281827833724,-0.1113895022931883,-6.237812128418549,0.0330578512396694,11.752678808116912,0.9613059341149636,3.484444444444444,1.2853132853846154,6.25,4,8.660999398228835,2.398186355347506,4.621315640485952,0.0,535.127300015196,11.387855989696924
CN(C)c1ccc(-c2ccccn2)cc1,9.568298381598792,-0.1076099881093936,-6.241379310344829,0.0,-5.067899599855001,1.0249735186946496,2.98224852071006,1.2404792916540832,5.365079365079365,2,0.0,2.154662152944021,4.131927557539832,18.19910120538483,418.0487579384548,0.0
CN(C)c1ccc(-c2cnc3c(ccc4cccnc43)c2)cc1,13.17811668299945,-0.0817613636363636,-7.195000000000002,0.0947862463013978,-18.48477202696792,1.015095111486081,3.3833141099577086,1.453089862435736,7.086924762600439,3,2.237011125565419,2.401670463592032,5.358819154067863,30.33183534230805,988.4690954784604,0.0
CN(C)c1ccc(-c2ccc(-c3nc4ccccc4o3)cc2)c2ccccc12,16.243923293430182,-0.0683411214953271,-7.3125,0.1354984185287215,1.2880230652002442,0.7502127038777369,4.0,1.3021774015182714,8.625708884688091,2,2.5104994919736083,2.723936607935308,6.536549913791669,54.59730361615449,1250.2085155115303,5.890723922025908
CN(C)c1cc(-c2ccc(-c3nc4ccccc4o3)cc2)c2ccccc2c1,16.324926425871503,-0.0309579439252336,-3.3125,0.1461157024793388,-6.340455213454254,0.7502126976102856,4.1259765625,1.1069736904758096,8.625708884688091,2,2.4948513438254603,2.8148646668446515,6.536549913791669,48.53093654769288,1250.2085155115303,5.890723922025908
Cc1cc(C)cc(-c2ccc(-c3nc4ccccc4o3)cc2)c1,13.807196852037304,-0.050828488372093,-4.371250000000002,0.1248954188348128,12.636628316993692,0.7502153747612389,3.665139525197834,1.177220650839276,7.086924762600439,1,0.0,2.637927083231027,5.39806365657447,53.59147246262526,927.0828774864566,5.890723922025908
COc1cc(OC)c(-c2ccc(-c3nc4ccccc4o3)cc2)c(OC)c1,16.233420058260794,-0.0935568488349865,-8.326559546313804,0.1203938373635343,-16.139695909831552,0.7501773197663211,4.302212008043665,1.0094538408237423,9.212018140589567,1,0.0,3.079525066781936,7.034791551495126,24.26546827384644,1025.1222148358595,23.13925942187762
COc1cc(OC)cc(-c2ccc(-c3nc4ccccc4o3)cc2)c1,14.782815595572655,-0.0785147392290249,-6.595238095238097,0.1248954188348128,-15.052545597992816,0.7501899068136219,4.135279458882165,1.0898029999027723,8.347140039447732,1,0.0,2.940613443703984,6.3210240132460935,24.26546827384644,963.6879291204796,5.890723922025908
c1ccc(N2c3ccccc3N(c3ccc(-c4nc5ccccc5o4)cc3)c3ccccc32)cc1,19.620997794813835,0.0068978249194414,0.9174107142857169,0.2261014182226303,43.10959884243452,0.7502091082635862,4.59981503501123,1.2577759837421214,10.636598678540649,3,0.0,3.189254169735614,7.888464072706927,54.59730361615449,1574.0708449193214,5.890723922025908
