SMILES,ABCGG,AATSC3d,ATSC3d,GGI10,ATSC4i,BCUTp-1l,Kier3,AATS8p,Kier2,VSA_EState3,Kappa3,Kappa2,PEOE_VSA6,BertzCT,EState_VSA3,Yield_CO,Yield_CS,Yield_CN
CC(C1=CC(C2=C3C=CC(C(C)(C)C)=C2)=C(C=C1)N3C(C=C4)=CC=C4C5=NC(C6=CC=CC=C6)=NC(C7=CC=CC=C7)=N5)(C)C,24.87626427,0.058184426,11.81143853,0.431390674,46.27924546,0.970107914,7.176035503,1.462117023,13.72170686,2.564952664,5.418373237,10.81409604,114.338828,2016.203589,17.47321349,53,95,92
C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6)=N1,20.52723216,0.015016612,2.072292395,0.280583614,25.44260526,0.970116456,6.840236686,1.394329648,13.5734072,0,4.859829041,10.26194714,97.0618731,1488.370343,17.47321349,21,94,99
CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4)(C)C,24.76637898,0.00893887,1.823529412,0.577492093,36.71282334,0.970108675,8.784065188,1.589309801,15.26665416,0,6.705761464,12.12554698,126.4715622,1749.112687,17.47321349,16,97,82
ClC(C=C1)=CC=C1N(C2=CC=C(Cl)C=C2)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,21.47628922,0.001517046,0.209352325,0.346699316,24.42123681,0.970115324,7.324211779,1.575665624,13.98065036,1.367463784,5.530560494,11.07825661,83.86555047,1585.484464,27.51848012,46,98,99
BrC(C=C1)=CC=C1N(C2=CC=C(Br)C=C2)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,21.47628922,0.001517046,0.209352325,0.346699316,22.45342498,0.970115802,7.324211779,1.679922542,13.98065036,0,5.673342127,11.314833,92.52355848,1585.484464,17.47321349,42,97,97
COC(C=C1)=CC=C1N(C2=CC=C(C=C2)OC)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,22.17298315,-0.036236142,-5.36294896,0.412610958,8.078200567,0.776050553,7.809626825,1.452936153,15.32879819,0,5.627030187,11.71674774,60.66367068,1617.879911,17.47321349,2,32,4
C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(N(C5=CC=C(C6=CC=CC=C6)C=C5)C7=CC=C(C8=CC=CC=C8)C=C7)C=C4)=N1,25.01895845,-0.03513265,-6.604938272,0.445056627,13.54012635,0.970106566,9.039515842,1.613625529,17.88362287,0,6.486781126,13.6029903,145.5928096,2130.611284,17.47321349,38,97,85
N(C1=C2C=CC=C1)(C3=CC=CC=C3S2)C(C=C4)=CC=C4C5=NC(C6=CC=CC=C6)=NC(C7=CC=CC=C7)=N5,20.51577623,0.025379696,3.527777778,0.256096317,25.71734054,0.970116203,5.857438017,1.432425902,12.47450572,0,4.129086756,9.614786014,96.69102391,1632.227252,17.47321349,39,11,16
O=C(C1=CC=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C=C1)C5=CC=C(N6C(C=CC=C7)=C7C8=C6C=CC=C8)C=C5,21.6584443,-0.082957732,-12.94140625,0.162440567,24.77041527,0.752745782,4.939718935,1.374999693,11.82860744,4.894784995,3.345937921,8.822691117,72.79640482,1948.431578,11.12690298,0,0,2
O=C(C1=CC=C(C=C1)N(C)C)C2=CC=C(C=C2)N(C)C,12.46254315,-0.117012195,-9.595,0.082440567,-8.488327859,0.752754616,4.25,1.252946237,7.319857313,0,2.991465685,5.780708152,0,529.8919985,11.12690298,0,0,2
O=C(C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6,21.80607905,-0.046833253,-7.399653979,0.082440567,37.70065862,0.752745292,7.571995465,1.293145323,15.13464123,0,5.265614183,11.54477243,72.79640482,1459.710795,11.12690298,1,9,99
O=C(C1=CC=C(N(C2=CC=C(C=C2)C(C)(C)C)C3=CC=C(C=C3)C(C)(C)C)C=C1)C4=CC=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C=C4,30.06190331,-0.029191439,-8.465517241,0.642791552,67.32856924,0.752737073,11.48543401,1.659584658,18.54318418,0,8.998012508,15.26085457,131.6157829,1955.206419,11.12690298,2,81,99
O=C(C1=CC=C(N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C)C=C1)C4=CC=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C=C4,23.65472534,-0.049869505,-9.07625,0.181205999,28.40169428,0.752743198,8.54489603,1.44439006,15.93194707,0,6.181343899,12.44570477,70.78474251,1621.958951,11.12690298,0,54,97
